coin name,coin symbol,coin price,market cap,volume,origin_pattern,origin_url,createdAt,updatedAt,pingedAt
Bitcoin SV,BSV,$287.84,$5.4B,$2.3B,https://www.coinbase.com/price,https://www.coinbase.com/price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Bitcoin SV,BSV,$288.10,$5.4B,$2.3B,https://www.coinbase.com//price,https://www.coinbase.com//price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Cardano,ADA,$1.18,$37.6B,$4.8B,https://www.coinbase.com//price,https://www.coinbase.com//price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Cardano,ADA,$1.18,$37.6B,$4.8B,https://www.coinbase.com/price,https://www.coinbase.com/price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Chainlink,LINK,$35.80,$14.9B,$3.3B,https://www.coinbase.com//price,https://www.coinbase.com//price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Chainlink,LINK,$35.85,$14.9B,$3.3B,https://www.coinbase.com/price,https://www.coinbase.com/price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Chiliz,CHZ,$0.50,$2.8B,$979.3M,https://www.coinbase.com//price?page=2,https://www.coinbase.com//price?page=2,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Compound,COMP,$469.05,$2.4B,$504.3M,https://www.coinbase.com//price?page=2,https://www.coinbase.com//price?page=2,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Cosmos,ATOM,$18.96,$3.9B,$898.9M,https://www.coinbase.com//price?page=2,https://www.coinbase.com//price?page=2,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Crypto.com Coin,CRO,$0.19,$4.7B,$139.4M,https://www.coinbase.com//price?page=2,https://www.coinbase.com//price?page=2,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Dai,DAI,$1.00,$3.6B,$494.9M,https://www.coinbase.com//price?page=2,https://www.coinbase.com//price?page=2,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
